Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
28158.0,28068.0,28085.0,28357.0,28268.0,27952.0,28189.0,28657.0,28243.0,27729.0,28031.0,27939.0,28267.0,28197.0,28031.0,27942.0,27605.0,28338.0,28378.0,28391.0,28648.0,28817.0,28433.0,27979.0,27670.0
28140.0,28105.0,28109.0,28413.0,28298.0,28036.0,28180.0,28722.0,28254.0,27731.0,28044.0,27948.0,28279.0,28218.0,28038.0,27999.0,27607.0,28336.0,28368.0,28391.0,28656.0,28803.0,28456.0,27984.0,27652.0
28166.0,28105.0,28154.0,28410.0,28327.0,28061.0,28212.0,28773.0,28259.0,27728.0,28078.0,27932.0,28279.0,28185.0,28166.0,28002.0,27631.0,28363.0,28369.0,28413.0,28655.0,28818.0,28442.0,27988.0,27677.0
28192.0,28114.0,28159.0,28379.0,28349.0,27983.0,28258.0,28767.0,28273.0,27710.0,28060.0,27933.0,28271.0,28135.0,28120.0,28027.0,27676.0,28330.0,28368.0,28396.0,28663.0,28792.0,28436.0,28015.0,27663.0
28130.0,28013.0,28097.0,28357.0,28279.0,27979.0,28180.0,28712.0,28249.0,27700.0,28043.0,27961.0,28316.0,28224.0,28098.0,27982.0,27631.0,28353.0,28357.0,28400.0,28644.0,28804.0,28441.0,28035.0,27671.0
28149.0,28061.0,28104.0,28394.0,28295.0,27989.0,28222.0,28722.0,28273.0,27703.0,28057.0,27962.0,28284.0,28249.0,28039.0,27970.0,27608.0,28364.0,28355.0,28406.0,28669.0,28806.0,28430.0,27987.0,27646.0
28128.0,28060.0,28075.0,28364.0,28258.0,27975.0,28182.0,28711.0,28251.0,27734.0,28076.0,27996.0,28336.0,28440.0,28152.0,28041.0,27774.0,28392.0,28371.0,28459.0,28660.0,28861.0,28432.0,28154.0,27660.0
28110.0,28006.0,28103.0,28359.0,28272.0,27988.0,28181.0,28712.0,28255.0,27721.0,28039.0,27954.0,28290.0,28242.0,28163.0,28026.0,27807.0,28371.0,28464.0,28422.0,28732.0,28828.0,28429.0,28010.0,27803.0
28120.0,28004.0,28097.0,28366.0,28290.0,27974.0,28182.0,28692.0,28242.0,27731.0,28032.0,27946.0,28272.0,28241.0,28176.0,28054.0,27763.0,28392.0,28428.0,28468.0,28690.0,28931.0,28521.0,28037.0,27678.0
28073.0,28002.0,28065.0,28336.0,28271.0,27994.0,28181.0,28722.0,28240.0,27717.0,28041.0,27959.0,28290.0,28232.0,28131.0,28052.0,27693.0,28399.0,28429.0,28479.0,28720.0,28842.0,28543.0,28001.0,27857.0
28149.0,28029.0,28133.0,28357.0,28286.0,27899.0,28174.0,28610.0,28295.0,27754.0,28099.0,27998.0,28365.0,28292.0,28134.0,28006.0,27680.0,28366.0,28381.0,28437.0,28679.0,28828.0,28458.0,28122.0,27690.0
28146.0,28067.0,28124.0,28370.0,28299.0,27982.0,28255.0,28729.0,28288.0,27704.0,28223.0,27972.0,28348.0,28309.0,28140.0,28014.0,27667.0,28376.0,28378.0,28391.0,28661.0,28799.0,28466.0,28020.0,27667.0
