Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
27907.0,27922.0,27904.0,28235.0,28132.0,27744.0,27845.0,27998.0,27932.0,27681.0,27987.0,27627.0,27753.0,27645.0,27811.0,27735.0,27430.0,28046.0,28088.0,27747.0,27898.0,28016.0,27762.0,27847.0,27519.0
27904.0,27933.0,27902.0,28240.0,28123.0,27735.0,27848.0,27992.0,27943.0,27690.0,27974.0,27632.0,27762.0,27647.0,27823.0,27741.0,27470.0,28033.0,28075.0,27756.0,27894.0,28028.0,27761.0,27867.0,27519.0
27902.0,27932.0,27894.0,28238.0,28118.0,27733.0,27843.0,27984.0,27945.0,27689.0,27976.0,27634.0,27764.0,27651.0,27820.0,27735.0,27466.0,28027.0,28064.0,27747.0,27893.0,28024.0,27755.0,27863.0,27515.0
27906.0,27925.0,27891.0,28234.0,28121.0,27730.0,27850.0,27978.0,27934.0,27702.0,27967.0,27631.0,27754.0,27654.0,27796.0,27718.0,27466.0,28025.0,28090.0,27745.0,27887.0,28037.0,27741.0,27844.0,27501.0
27906.0,27927.0,27902.0,28246.0,28129.0,27698.0,27842.0,27993.0,27925.0,27690.0,27974.0,27626.0,27773.0,27652.0,27789.0,27746.0,27460.0,28023.0,28081.0,27760.0,27890.0,28026.0,27747.0,27868.0,27515.0
27911.0,27921.0,27904.0,28241.0,28110.0,27711.0,27825.0,27980.0,27935.0,27689.0,27973.0,27623.0,27762.0,27643.0,27798.0,27727.0,27447.0,28027.0,28089.0,27731.0,27889.0,28024.0,27748.0,27872.0,27523.0
27884.0,27932.0,27894.0,28242.0,28129.0,27699.0,27827.0,27997.0,27930.0,27686.0,27977.0,27637.0,27778.0,27670.0,27799.0,27731.0,27426.0,28026.0,28079.0,27747.0,27876.0,28030.0,27748.0,27846.0,27500.0
27902.0,27925.0,27904.0,28241.0,28131.0,27658.0,27836.0,27982.0,27944.0,27701.0,27980.0,27637.0,27753.0,27653.0,27793.0,27717.0,27454.0,28038.0,28086.0,27756.0,27887.0,28021.0,27755.0,27845.0,27521.0
27904.0,27923.0,27899.0,28229.0,28138.0,27676.0,27829.0,27968.0,27943.0,27694.0,27996.0,27635.0,27778.0,27656.0,27794.0,27738.0,27447.0,28032.0,28084.0,27744.0,27881.0,28029.0,27744.0,27859.0,27524.0
27885.0,27911.0,27890.0,28237.0,28112.0,27670.0,27822.0,27963.0,27942.0,27686.0,27977.0,27629.0,27763.0,27648.0,27808.0,27739.0,27448.0,28026.0,28065.0,27740.0,27890.0,28023.0,27770.0,27874.0,27526.0
27863.0,27911.0,27888.0,28215.0,28102.0,27626.0,27818.0,27965.0,27923.0,27676.0,27987.0,27637.0,27760.0,27649.0,27788.0,27734.0,27464.0,28046.0,28101.0,27750.0,27911.0,28017.0,27763.0,27844.0,27518.0
27882.0,27909.0,27885.0,28218.0,28096.0,27631.0,27808.0,27965.0,27925.0,27672.0,27980.0,27630.0,27780.0,27650.0,27812.0,27710.0,27441.0,28025.0,28108.0,27741.0,27941.0,28016.0,27761.0,27851.0,27508.0
27897.0,27914.0,27889.0,28214.0,28092.0,27638.0,27814.0,27963.0,27929.0,27683.0,27985.0,27630.0,27780.0,27667.0,27812.0,27736.0,27455.0,28042.0,28095.0,27749.0,27919.0,28020.0,27768.0,27841.0,27510.0
27894.0,27927.0,27887.0,28226.0,28094.0,27651.0,27815.0,27960.0,27919.0,27679.0,27964.0,27624.0,27761.0,27646.0,27806.0,27723.0,27473.0,28027.0,28082.0,27741.0,27923.0,28007.0,27766.0,27851.0,27512.0
27894.0,27916.0,27891.0,28219.0,28092.0,27631.0,27809.0,27941.0,27932.0,27677.0,27972.0,27634.0,27760.0,27654.0,27790.0,27725.0,27468.0,28034.0,28128.0,27758.0,27969.0,28008.0,27768.0,27867.0,27496.0
27889.0,27930.0,27900.0,28239.0,28086.0,27657.0,27798.0,27957.0,27930.0,27683.0,27982.0,27621.0,27766.0,27648.0,27785.0,27725.0,27443.0,28029.0,28150.0,27746.0,27986.0,28013.0,27780.0,27844.0,27514.0
27883.0,27917.0,27882.0,28232.0,28090.0,27616.0,27804.0,27950.0,27925.0,27681.0,27972.0,27638.0,27759.0,27650.0,27816.0,27724.0,27475.0,28034.0,28159.0,27742.0,27995.0,28003.0,27797.0,27837.0,27495.0
